Category_ID,Category_Name,Category_Desc,Category_Image
1,Wood,Vestibulum quam sapien varius ut blandit non interdum in ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,http://dummyimage.com/102x100.png/5fa2dd/ffffff
2,Granite,Donec diam neque vestibulum eget vulputate ut ultrices vel augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi. Integer ac neque.,http://dummyimage.com/183x100.png/cc0000/ffffff
3,Stone,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,http://dummyimage.com/224x100.png/ff4444/ffffff
4,Plastic,Duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.,http://dummyimage.com/119x100.png/cc0000/ffffff
5,Rubber,Mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis. Integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.,http://dummyimage.com/115x100.png/cc0000/ffffff
6,Wood,Donec diam neque vestibulum eget vulputate ut ultrices vel augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi. Integer ac neque.,http://dummyimage.com/147x100.png/5fa2dd/ffffff
7,Brass,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem.,http://dummyimage.com/112x100.png/ff4444/ffffff
8,Aluminum,Proin leo odio porttitor id consequat in consequat ut nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.,http://dummyimage.com/131x100.png/cc0000/ffffff
9,Glass,Mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis. Integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.,http://dummyimage.com/218x100.png/dddddd/000000
10,Vinyl,In congue. Etiam justo. Etiam pretium iaculis justo.,http://dummyimage.com/202x100.png/ff4444/ffffff
